id,item,group,attraction_type,position,NP1,sent,NP2,main verb,sentence,question,ans1,ans2,ans3,ans4,target_ver,target_nonver,distractor_ver,distractor_nonver,condition,,,,,,,,,
14,3,D,baseline,modifier,The doctor,of,the angel,collapsed suddenly in the ER.,The doctor of the angel collapsed suddenly in the ER.,Who collapsed?,the doctor,the doctors,the angel,the angels,1,2,3,4,baseline_modifier,,,,,,,,,
15,3,E,semantic,subject,The nurse,said that,the doctor,collapsed suddenly in the ER.,The nurse said that the doctor collapsed suddenly in the ER.,Who collapsed?,the nurse,the nurses,the doctor,the doctors,3,4,1,2,semantic_subject,,,,,,,,,
16,3,F,semantic,modifier,The doctor,of,the nurse,collapsed suddenly in the ER.,The doctor of the nurse collapsed suddenly in the ER.,Who collapsed?,the doctor,the doctors,the nurse,the nurses,1,2,3,4,semantic_modifier,,,,,,,,,
17,3,A,morphological,subject,The angels,said that,the doctor,collapsed suddenly in the ER.,The angels said that the doctor collapsed suddenly in the ER.,Who collapsed?,the angel,the angels,the doctor,the doctors,3,4,1,2,morphological_subject,,,,,,,,,
18,3,B,morphological,modifier,The doctor,of,the angels,collapsed suddenly in the ER.,The doctor of the angels collapsed suddenly in the ER.,Who collapsed?,the doctor,the doctors,the angel,the angels,1,2,3,4,morphological_modifier,,,,,,,,,
19,4,D,baseline,subject,The dragon,testified that,the secretary,fainted often in the office.,The dragon testified that the secretary fainted often in the office.,Who fainted?,the dragon,the dragons,the secretary,the secretaries,3,4,1,2,baseline_subject,,,,,,,,,
20,4,E,baseline,modifier,The secretary,of ,the dragon,fainted often in the office.,The secretary of  the dragon fainted often in the office.,Who fainted?,the secretary,the secretaries,the dragon,the dragons,1,2,3,4,baseline_modifier,,,,,,,,,
21,4,F,semantic,subject,The assistant,testified that,the secretary,fainted often in the office.,The assistant testified that the secretary fainted often in the office.,Who fainted?,the assistant,the assistants,the secretary,the secretaries,3,4,1,2,semantic_subject,,,,,,,,,
22,4,A,semantic,modifier,The secretary,of,the assistant,fainted often in the office.,The secretary of the assistant fainted often in the office.,Who fainted?,the secretary,the secretaries,the assistant,the assistants,1,2,3,4,semantic_modifier,,,,,,,,,
23,4,B,morphological,subject,The dragons,testified that,the secretary,fainted often in the office.,The dragons testified that the secretary fainted often in the office.,Who fainted?,the dragon,the dragons,the secretary,the secretaries,3,4,1,2,morphological_subject,,,,,,,,,
24,4,C,morphological,modifier,The secretary,of ,the dragons,fainted often in the office.,The secretary of  the dragons fainted often in the office.,Who fainted?,the secretary,the secretaries,the dragon,the dragons,1,2,3,4,morphological_modifier,,,,,,,,,
25,5,E,baseline,subject,The genie,read that,the mentor,arrived in a black helicopter.,The genie read that the mentor arrived in a black helicopter.,Who arrived?,the genie,the genies,the mentor,the mentors,3,4,1,2,baseline_subject,,,,,,,,,
26,5,F,baseline,modifier,The mentor,of ,the genie,arrived in a black helicopter.,The mentor of  the genie arrived in a black helicopter.,Who arrived?,the mentor,the mentors,the genie,the genies,1,2,3,4,baseline_modifier,,,,,,,,,
27,5,A,semantic,subject,The tutor,read that,the mentor,arrived in a black helicopter.,The tutor read that the mentor arrived in a black helicopter.,Who arrived?,the tutor,the tutors,the mentor,the mentors,3,4,1,2,semantic_subject,,,,,,,,,
28,5,B,semantic,modifier,The mentor,of ,the tutor,arrived in a black helicopter.,The mentor of  the tutor arrived in a black helicopter.,Who arrived?,the mentor,the mentors,the tutor,the tutors,1,2,3,4,semantic_modifier,,,,,,,,,
29,5,C,morphological,subject,The genies,read that,the mentor,arrived in a black helicopter.,The genies read that the mentor arrived in a black helicopter.,Who arrived?,the genie,the genies,the mentor,the mentors,3,4,1,2,morphological_subject,,,,,,,,,
30,5,D,morphological,modifier,The mentor,of,the genies,arrived in a black helicopter.,The mentor of the genies arrived in a black helicopter.,Who arrived?,the mentor,the mentors,the genie,the genies,1,2,3,4,morphological_modifier,,,,,,,,,
31,6,F,baseline,subject,The spirit,argued that,the captain,sang loudly during the party.,The spirit argued that the captain sang loudly during the party.,Who sang?,the spirit,the spirits,the captain,the captains,3,4,1,2,baseline_subject,,,,,,,,,
32,6,A,baseline,modifier,The captain,of,the spirit,sang loudly during the party.,The captain of the spirit sang loudly during the party.,Who sang?,the captain,the captains,the spirit,the spirits,1,2,3,4,baseline_modifier,,,,,,,,,
33,6,B,semantic,subject,The lieutenant,argued that,the captain,sang loudly during the party.,The lieutenant argued that the captain sang loudly during the party.,Who sang?,the lieutenant,the lieutenants,the captain,the captains,3,4,1,2,semantic_subject,,,,,,,,,
34,6,C,semantic,modifier,The captain,of,the lieutenant,sang loudly during the party.,The captain of the lieutenant sang loudly during the party.,Who sang?,the captain,the captains,the lieutenant,the lieutenants,1,2,3,4,semantic_modifier,,,,,,,,,
35,6,D,morphological,subject,The spirits,argued that,the captain,sang loudly during the party.,The spirits argued that the captain sang loudly during the party.,Who sang?,the spirits,the spiritss,the captain,the captains,3,4,1,2,morphological_subject,,,,,,,,,
36,6,E,morphological,modifier,The captain,of,the spirits,sang loudly during the party.,The captain of the spirits sang loudly during the party.,Who sang?,the captain,the captains,the spirits,the spiritss,1,2,3,4,morphological_modifier,,,,,,,,,
37,7,A,baseline,subject,The zombie,predicted that,the landlord,cried for a long time.,The zombie predicted that the landlord cried for a long time.,Who cried?,the zombie,the zombies,the landlord,the landlords,3,4,1,2,baseline_subject,,,,,,,,,
38,7,B,baseline,modifier,The landlord,of,the zombie,cried for a long time.,The landlord of the zombie cried for a long time.,Who cried?,the landlord,the landlords,the zombie,the zombies,1,2,3,4,baseline_modifier,,,,,,,,,
39,7,C,semantic,subject,The tenant,predicted that,the landlord,cried for a long time.,The tenant predicted that the landlord cried for a long time.,Who cried?,the tenant,the tenants,the landlord,the landlords,3,4,1,2,semantic_subject,,,,,,,,,
40,7,D,semantic,modifier,The landlord,of,the tenant,cried for a long time.,The landlord of the tenant cried for a long time.,Who cried?,the landlord,the landlords,the tenant,the tenants,1,2,3,4,semantic_modifier,,,,,,,,,
41,7,E,morphological,subject,The zombies,predicted that,the landlord,cried for a long time.,The zombies predicted that the landlord cried for a long time.,Who cried?,the zombie,the zombies,the landlord,the landlords,3,4,1,2,morphological_subject,,,,,,,,,
42,7,F,morphological,modifier,The landlord,of,the zombies,cried for a long time.,The landlord of the zombies cried for a long time.,Who cried?,the landlord,the landlords,the zombie,the zombies,1,2,3,4,morphological_modifier,,,,,,,,,
43,8,B,baseline,subject,The vampire,stated that,the companion,left hurriedly in a cab.,The vampire stated that the companion left hurriedly in a cab.,Who left?,the vampire,the vampires,the companion,the companions,3,4,1,2,baseline_subject,,,,,,,,,
44,8,C,baseline,modifier,The companion,of,the vampire,left hurriedly in a cab.,The companion of the vampire left hurriedly in a cab.,Who left?,the companion,the companions,the vampire,the vampires,1,2,3,4,baseline_modifier,,,,,,,,,
45,8,D,semantic,subject,The guide,stated that,the companion,left hurriedly in a cab.,The guide stated that the companion left hurriedly in a cab.,Who left?,the guide,the guides,the companion,the companions,3,4,1,2,semantic_subject,,,,,,,,,
46,8,E,semantic,modifier,The companion,of,the guide,left hurriedly in a cab.,The companion of the guide left hurriedly in a cab.,Who left?,the companion,the companions,the guide,the guides,1,2,3,4,semantic_modifier,,,,,,,,,
47,8,F,morphological,subject,The vampires,stated that,the companion,left hurriedly in a cab.,The vampires stated that the companion left hurriedly in a cab.,Who left?,the vampire,the vampires,the companion,the companions,3,4,1,2,morphological_subject,,,,,,,,,
48,8,A,morphological,modifier,The companion,of,the vampires,left hurriedly in a cab.,The companion of the vampires left hurriedly in a cab.,Who left?,the companion,the companions,the vampire,the vampires,1,2,3,4,morphological_modifier,,,,,,,,,
49,9,C,baseline,subject,The cyborg,explained that,the coordinator,complained obnoxiously all the time.,The cyborg explained that the coordinator complained obnoxiously all the time.,Who complained?,the cyborg,the cyborgs,the coordinator,the coordinators,3,4,1,2,baseline_subject,,,,,,,,,
50,9,D,baseline,modifier,The coordinator,of,the cyborg,complained obnoxiously all the time.,The coordinator of the cyborg complained obnoxiously all the time.,Who complained?,the coordinator,the coordinators,the cyborg,the cyborgs,1,2,3,4,baseline_modifier,,,,,,,,,
51,9,E,semantic,subject,The curator,explained that,the coordinator,complained obnoxiously all the time.,The curator explained that the coordinator complained obnoxiously all the time.,Who complained?,the curator,the curators,the coordinator,the coordinators,3,4,1,2,semantic_subject,,,,,,,,,
52,9,F,semantic,modifier,The coordinator,of,the curator,complained obnoxiously all the time.,The coordinator of the curator complained obnoxiously all the time.,Who complained?,the coordinator,the coordinators,the curator,the curators,1,2,3,4,semantic_modifier,,,,,,,,,
53,9,A,morphological,subject,The cyborgs,explained that,the coordinator,complained obnoxiously all the time.,The cyborgs explained that the coordinator complained obnoxiously all the time.,Who complained?,the cyborg,the cyborgs,the coordinator,the coordinators,3,4,1,2,morphological_subject,,,,,,,,,
54,9,B,morphological,modifier,The coordinator,of,the cyborgs,complained obnoxiously all the time.,The coordinator of the cyborgs complained obnoxiously all the time.,Who complained?,the coordinator,the coordinators,the cyborg,the cyborgs,1,2,3,4,morphological_modifier,,,,,,,,,
55,10,D,baseline,subject,The mermaid,believed that,the customer,escaped after last night's events.,The mermaid believed that the customer escaped after last night's events.,Who escaped?,the mermaid,the mermaids,the customer,the customers,3,4,1,2,baseline_subject,,,,,,,,,
56,10,E,baseline,modifier,The customer,of,the mermaid,escaped after last night's events.,The customer of the mermaid escaped after last night's events.,Who escaped?,the customer,the customers,the mermaid,the mermaids,1,2,3,4,baseline_modifier,,,,,,,,,
57,10,F,semantic,subject,The employee,believed that,the customer,escaped after last night's events.,The employee believed that the customer escaped after last night's events.,Who escaped?,the employee,the employees,the customer,the customers,3,4,1,2,semantic_subject,,,,,,,,,
58,10,A,semantic,modifier,The customer,of,the employee,escaped after last night's events.,The customer of the employee escaped after last night's events.,Who escaped?,the customer,the customers,the employee,the employees,1,2,3,4,semantic_modifier,,,,,,,,,
59,10,B,morphological,subject,The mermaids,believed that,the customer,escaped after last night's events.,The mermaids believed that the customer escaped after last night's events.,Who escaped?,the mermaid,the mermaids,the customer,the customers,3,4,1,2,morphological_subject,,,,,,,,,
60,10,C,morphological,modifier,The customer,of,the mermaids,escaped after last night's events.,The customer of the mermaids escaped after last night's events.,Who escaped?,the customer,the customers,the mermaid,the mermaids,1,2,3,4,morphological_modifier,,,,,,,,,
61,11,E,baseline,subject,The fairy,confirmed that,the rival,walked in a weird way.,The fairy confirmed that the rival walked in a weird way.,Who walked?,the fairy,the fairies,the rival,the rivals,3,4,1,2,baseline_subject,,,,,,,,,
62,11,F,baseline,modifier,The rival,of,the fairy,walked in a weird way.,The rival of the fairy walked in a weird way.,Who walked?,the rival,the rivals,the fairy,the fairies,1,2,3,4,baseline_modifier,,,,,,,,,
63,11,A,semantic,subject,The competitor,confirmed that,the rival,walked in a weird way.,The competitor confirmed that the rival walked in a weird way.,Who walked?,the competitor,the competitors,the rival,the rivals,3,4,1,2,semantic_subject,,,,,,,,,
64,11,B,semantic,modifier,The rival,of,the competitor,walked in a weird way.,The rival of the competitor walked in a weird way.,Who walked?,the rival,the rivals,the competitor,the competitors,1,2,3,4,semantic_modifier,,,,,,,,,
65,11,C,morphological,subject,The fairies,confirmed that,the rival,walked in a weird way.,The fairies confirmed that the rival walked in a weird way.,Who walked?,the fairy,the fairies,the rival,the rivals,3,4,1,2,morphological_subject,,,,,,,,,
66,11,D,morphological,modifier,The rival,of,the fairies,walked in a weird way.,The rival of the fairies walked in a weird way.,Who walked?,the rival,the rivals,the fairy,the fairies,1,2,3,4,morphological_modifier,,,,,,,,,
67,12,F,baseline,subject,The werewolf,claimed that,the maid,laughed upon hearing the misfortune.,The werewolf claimed that the maid laughed upon hearing the misfortune.,Who laughed?,the werewolf,the werevolves,the maid,the maids,3,4,1,2,baseline_subject,,,,,,,,,
68,12,A,baseline,modifier,The maid,of,the werewolf,laughed upon hearing the misfortune.,The maid of the werewolf laughed upon hearing the misfortune.,Who laughed?,the maid,the maids,the werewolf,the werevolves,1,2,3,4,baseline_modifier,,,,,,,,,
69,12,B,semantic,subject,The servant,claimed that,the maid,laughed upon hearing the misfortune.,The servant claimed that the maid laughed upon hearing the misfortune.,Who laughed?,the servant,the servants,the maid,the maids,3,4,1,2,semantic_subject,,,,,,,,,
70,12,C,semantic,modifier,The maid,of,the servant,laughed upon hearing the misfortune.,The maid of the servant laughed upon hearing the misfortune.,Who laughed?,the maid,the maids,the servant,the servants,1,2,3,4,semantic_modifier,,,,,,,,,
71,12,D,morphological,subject,The werewolves,claimed that,the maid,laughed upon hearing the misfortune.,The werewolves claimed that the maid laughed upon hearing the misfortune.,Who laughed?,the werewolf,the warewolves,the maid,the maids,3,4,1,2,morphological_subject,,,,,,,,,
72,12,E,morphological,modifier,The maid,of,the werewolves,laughed upon hearing the misfortune.,The maid of the werewolves laughed upon hearing the misfortune.,Who laughed?,the maid,the maids,the werewolf,the warewolves,1,2,3,4,morphological_modifier,,,,,,,,,
73,13,A,baseline,subject,The android,resented that,the apprentice,succeeded easily without paying attention.,The android resented that the apprentice succeeded easily without paying attention.,Who succeeded?,the android,the androids,the apprentice,the apprentices,3,4,1,2,baseline_subject,,,,,,,,,
74,13,B,baseline,modifier,The apprentice,of,the android,succeeded easily without paying attention.,The apprentice of the android succeeded easily without paying attention.,Who succeeded?,the apprentice,the apprentices,the android,the androids,1,2,3,4,baseline_modifier,,,,,,,,,
75,13,C,semantic,subject,The protege,resented that,the apprentice,succeeded easily without paying attention.,The protege resented that the apprentice succeeded easily without paying attention.,Who succeeded?,the protege,the proteges,the apprentice,the apprentices,3,4,1,2,semantic_subject,,,,,,,,,
76,13,D,semantic,modifier,The apprentice,of,the protege,succeeded easily without paying attention.,The apprentice of the protege succeeded easily without paying attention.,Who succeeded?,the apprentice,the apprentices,the protege,the proteges,1,2,3,4,semantic_modifier,,,,,,,,,
77,13,E,morphological,subject,The androids,resented that,the apprentice,succeeded easily without paying attention.,The androids resented that the apprentice succeeded easily without paying attention.,Who succeeded?,the android,the androids,the apprentice,the apprentices,3,4,1,2,morphological_subject,,,,,,,,,
78,13,F,morphological,modifier,The apprentice,of,the androids,succeeded easily without paying attention.,The apprentice of the androids succeeded easily without paying attention.,Who succeeded?,the apprentice,the apprentices,the android,the androids,1,2,3,4,morphological_modifier,,,,,,,,,
79,14,B,baseline,subject,The computer,knew that,the ally,grinned from ear to ear.,The computer knew that the ally grinned from ear to ear.,Who grinned?,the computer,the computers,the ally,the allies,3,4,1,2,baseline_subject,,,,,,,,,
80,14,C,baseline,modifier,The ally,of,the computer,grinned from ear to ear.,The ally of the computer grinned from ear to ear.,Who grinned?,the ally,the allies,the computer,the computers,1,2,3,4,baseline_modifier,,,,,,,,,
81,14,D,semantic,subject,The enemy,knew that,the ally,grinned from ear to ear.,The enemy knew that the ally grinned from ear to ear.,Who grinned?,the enemy,the enemies,the ally,the allys,3,4,1,2,semantic_subject,,,,,,,,,
82,14,E,semantic,modifier,The ally,of,the enemy,grinned from ear to ear.,The ally of the enemy grinned from ear to ear.,Who grinned?,the ally,the allies,the enemy,the enemies,1,2,3,4,semantic_modifier,,,,,,,,,
83,14,F,morphological,subject,The computers,knew that,the ally,grinned from ear to ear.,The computers knew that the ally grinned from ear to ear.,Who grinned?,the computer,the computers,the ally,the allies,3,4,1,2,morphological_subject,,,,,,,,,
84,14,A,morphological,modifier,The ally,of,the computers,grinned from ear to ear.,The ally of the computers grinned from ear to ear.,Who grinned?,the ally,the allies,the computer,the computers,1,2,3,4,morphological_modifier,,,,,,,,,
85,15,C,baseline,subject,The alien,concluded that,the prosecutor,cheated to win the case.,The alien concluded that the prosecutor cheated to win the case.,Who cheated?,the alien,the aliens,the prosecutor,the prosecutors,3,4,1,2,baseline_subject,,,,,,,,,
86,15,D,baseline,modifier,The prosecutor,of,the alien,cheated to win the case.,The prosecutor of the alien cheated to win the case.,Who cheated?,the prosecutor,the prosecutors,the alien,the aliens,1,2,3,4,baseline_modifier,,,,,,,,,
87,15,E,semantic,subject,The defendant,concluded that,the prosecutor,cheated to win the case.,The defendant concluded that the prosecutor cheated to win the case.,Who cheated?,the defendant,the defendants,the prosecutor,the prosecutors,3,4,1,2,semantic_subject,,,,,,,,,
88,15,F,semantic,modifier,The prosecutor,of,the defendant,cheated to win the case.,The prosecutor of the defendant cheated to win the case.,Who cheated?,the prosecutor,the prosecutors,the defendant,the defendants,1,2,3,4,semantic_modifier,,,,,,,,,
89,15,A,morphological,subject,The aliens,concluded that,the prosecutor,cheated to win the case.,The aliens concluded that the prosecutor cheated to win the case.,Who cheated?,the alien,the aliens,the prosecutor,the prosecutors,3,4,1,2,morphological_subject,,,,,,,,,
90,15,B,morphological,modifier,The prosecutor,of,the aliens,cheated to win the case.,The prosecutor of the aliens cheated to win the case.,Who cheated?,the prosecutor,the prosecutors,the alien,the aliens,1,2,3,4,morphological_modifier,,,,,,,,,
91,16,D,baseline,subject,The phantom,feared that,the dentist,coughed because of the illness.,The phantom feared that the dentist coughed because of the illness.,Who coughed?,the phantom,the phantoms,the dentist,the dentists,3,4,1,2,baseline_subject,,,,,,,,,
92,16,E,baseline,modifier,The dentist,of,the phantom,coughed because of the illness.,The dentist of the phantom coughed because of the illness.,Who coughed?,the dentist,the dentists,the phantom,the phantoms,1,2,3,4,baseline_modifier,,,,,,,,,
93,16,F,semantic,subject,The physician,feared that,the dentist,coughed because of the illness.,The physician feared that the dentist coughed because of the illness.,Who coughed?,the physician,the physicians,the dentist,the dentists,3,4,1,2,semantic_subject,,,,,,,,,
94,16,A,semantic,modifier,The dentist,of,the physician,coughed because of the illness.,The dentist of the physician coughed because of the illness.,Who coughed?,the dentist,the dentists,the physician,the physicians,1,2,3,4,semantic_modifier,,,,,,,,,
95,16,B,morphological,subject,The phantoms,feared that,the dentist,coughed because of the illness.,The phantoms feared that the dentist coughed because of the illness.,Who coughed?,the phantom,the phantoms,the dentist,the dentists,3,4,1,2,morphological_subject,,,,,,,,,
96,16,C,morphological,modifier,The dentist,of,the phantoms,coughed because of the illness.,The dentist of the phantoms coughed because of the illness.,Who coughed?,the dentist,the dentists,the phantom,the phantoms,1,2,3,4,morphological_modifier,,,,,,,,,
97,17,E,baseline,subject,The mutant,promised that,the boss,waited patiently in the corner.,The mutant promised that the boss waited patiently in the corner.,Who waited?,the mutant,the mutants,the boss,the bosses,3,4,1,2,baseline_subject,,,,,,,,,
98,17,F,baseline,modifier,The boss,of,the mutant,waited patiently in the corner.,The boss of the mutant waited patiently in the corner.,Who waited?,the boss,the bosses,the mutant,the mutants,1,2,3,4,baseline_modifier,,,,,,,,,
99,17,A,semantic,subject,The supervisor,promised that,the boss,waited patiently in the corner.,The supervisor promised that the boss waited patiently in the corner.,Who waited?,the supervisor,the supervisors,the boss,the bosses,3,4,1,2,semantic_subject,,,,,,,,,
100,17,B,semantic,modifier,The boss,of,the supervisor,waited patiently in the corner.,The boss of the supervisor waited patiently in the corner.,Who waited?,the boss,the bosses,the supervisor,the supervisors,1,2,3,4,semantic_modifier,,,,,,,,,
101,17,C,morphological,subject,The mutants,promised that,the boss,waited patiently in the corner.,The mutants promised that the boss waited patiently in the corner.,Who waited?,the mutant,the mutants,the boss,the bosses,3,4,1,2,morphological_subject,,,,,,,,,
102,17,D,morphological,modifier,The boss,of,the mutants,waited patiently in the corner.,The boss of the mutants waited patiently in the corner.,Who waited?,the boss,the bosses,the mutant,the mutants,1,2,3,4,morphological_modifier,,,,,,,,,
103,18,F,baseline,subject,The monster,recalled that,the friend,sneezed hard during the show.,The monster recalled that the friend sneezed hard during the show.,Who sneezed?,the monster,the monsters,the friend,the friends,3,4,1,2,baseline_subject,,,,,,,,,
104,18,A,baseline,modifier,The friend,of,the monster,sneezed hard during the show.,The friend of the monster sneezed hard during the show.,Who sneezed?,the friend,the friends,the monster,the monsters,1,2,3,4,baseline_modifier,,,,,,,,,
105,18,B,semantic,subject,The neighbor,recalled that,the friend,sneezed hard during the show.,The neighbor recalled that the friend sneezed hard during the show.,Who sneezed?,the neighbor,the neighbors,the friend,the friends,3,4,1,2,semantic_subject,,,,,,,,,
106,18,C,semantic,modifier,The friend,of,the neighbor,sneezed hard during the show.,The friend of the neighbor sneezed hard during the show.,Who sneezed?,the friend,the friends,the neighbor,the neighbors,1,2,3,4,semantic_modifier,,,,,,,,,
107,18,D,morphological,subject,The monsters,recalled that,the friend,sneezed hard during the show.,The monsters recalled that the friend sneezed hard during the show.,Who sneezed?,the monster,the monsters,the friend,the friends,3,4,1,2,morphological_subject,,,,,,,,,
108,18,E,morphological,modifier,The friend,of,the monsters,sneezed hard during the show.,The friend of the monsters sneezed hard during the show.,Who sneezed?,the friend,the friends,the monster,the monsters,1,2,3,4,morphological_modifier,,,,,,,,,
109,19,A,baseline,subject,The elf,saw that,the ambassador,shivered because of the cold.,The elf saw that the ambassador shivered because of the cold.,Who shivered?,the ambassador,the ambassadors,the elf,the elves,1,2,3,4,baseline_subject,,,,,,,,,
110,19,B,baseline,modifier,The ambassador,of,the elf,shivered because of the cold.,The ambassador of the elf shivered because of the cold.,Who shivered?,the elf,the elves,the ambassador,the ambassadors,3,4,1,2,baseline_modifier,,,,,,,,,
111,19,C,semantic,subject,The diplomat,saw that,the ambassador,shivered because of the cold.,The diplomat saw that the ambassador shivered because of the cold.,Who shivered?,the ambassador,the ambassadors,the diplomat,the diplomats,1,2,3,4,semantic_subject,,,,,,,,,
112,19,D,semantic,modifier,The ambassador,of,the diplomat,shivered because of the cold.,The ambassador of the diplomat shivered because of the cold.,Who shivered?,the diplomat,the diplomats,the ambassador,the ambassadors,3,4,1,2,semantic_modifier,,,,,,,,,
113,19,E,morphological,subject,The elves,saw that,the ambassador,shivered because of the cold.,The elves saw that the ambassador shivered because of the cold.,Who shivered?,the ambassador,the ambassadors,the elf,the elves,1,2,3,4,morphological_subject,,,,,,,,,
114,19,F,morphological,modifier,The ambassador,of,the elves,shivered because of the cold.,The ambassador of the elves shivered because of the cold.,Who shivered?,the elf,the elves,the ambassador,the ambassadors,3,4,1,2,morphological_modifier,,,,,,,,,
115,20,B,baseline,subject,The troll,remembered that,the agent,paid a lot of money.,The troll remembered that the agent paid a lot of money.,Who paid?,the agent,the agents,the troll,the trolls,1,2,3,4,baseline_subject,,,,,,,,,
116,20,C,baseline,modifier,The agent,of,the troll,paid a lot of money.,The agent of the troll paid a lot of money.,Who paid?,the troll,the trolls,the agent,the agents,3,4,1,2,baseline_modifier,,,,,,,,,
117,20,D,semantic,subject,The witness,remembered that,the agent,paid a lot of money.,The witness remembered that the agent paid a lot of money.,Who paid?,the agent,the agents,the witness,the witnesses,1,2,3,4,semantic_subject,,,,,,,,,
118,20,E,semantic,modifier,The agent,of,the witness,paid a lot of money.,The agent of the witness paid a lot of money.,Who paid?,the witness,the witnesses,the agent,the agents,3,4,1,2,semantic_modifier,,,,,,,,,
119,20,F,morphological,subject,The trolls,remembered that,the agent,paid a lot of money.,The trolls remembered that the agent paid a lot of money.,Who paid?,the agent,the agents,the troll,the trolls,1,2,3,4,morphological_subject,,,,,,,,,
120,20,A,morphological,modifier,The agent,of,the trolls,paid a lot of money.,The agent of the trolls paid a lot of money.,Who paid?,the troll,the trolls,the agent,the agents,3,4,1,2,morphological_modifier,,,,,,,,,
121,21,C,baseline,subject,The skeleton,acknowledged that,the guest,winced upon hearing the comment.,The skeleton acknowledged that the guest winced upon hearing the comment.,Who winced?,the guest,the guests,the skeleton,the skeletons,1,2,3,4,baseline_subject,,,,,,,,,
122,21,D,baseline,modifier,The guest,of,the skeleton,winced upon hearing the comment.,The guest of the skeleton winced upon hearing the comment.,Who winced?,the skeleton,the skeletons,the guest,the guests,3,4,1,2,baseline_modifier,,,,,,,,,
123,21,E,semantic,subject,The passenger,acknowledged that,the guest,winced upon hearing the comment.,The passenger acknowledged that the guest winced upon hearing the comment.,Who winced?,the guest,the guests,the passenger,the passengers,1,2,3,4,semantic_subject,,,,,,,,,
124,21,F,semantic,modifier,The guest,of,the passenger,winced upon hearing the comment.,The guest of the passenger winced upon hearing the comment.,Who winced?,the passenger,the passengers,the guest,the guests,3,4,1,2,semantic_modifier,,,,,,,,,
125,21,A,morphological,subject,The skeletons,acknowledged that,the guest,winced upon hearing the comment.,The skeletons acknowledged that the guest winced upon hearing the comment.,Who winced?,the guest,the guests,the skeleton,the skeletons,1,2,3,4,morphological_subject,,,,,,,,,
126,21,B,morphological,modifier,The guest,of,the skeletons,winced upon hearing the comment.,The guest of the skeletons winced upon hearing the comment.,Who winced?,the skeleton,the skeletons,the guest,the guests,3,4,1,2,morphological_modifier,,,,,,,,,
